1,2
1.2,2
1.4,2
1.6,2
1.8,2
2,2
2.2,2
2.4,2
2.6,2
2.8,2
3,2
3.2,2
3.4,2
3.6,2
3.8,2
4,2
4.2,2
4.4,2
4.6,2
4.8,2
5,2
5.1979,2.018
5.3903,2.0716
5.5698,2.1591
5.7306,2.2776
5.8672,2.4233
5.9753,2.5913
6.0512,2.776
6.0925,2.9714
6.0977,3.1711
6.0668,3.3684
6.0006,3.5569
5.9015,3.7303
5.7727,3.8829
5.6184,4.0097
5.4437,4.1065
5.2544,4.1702
5.0567,4.1985
4.8578,4.2
4.6578,4.2
4.4578,4.2
4.2578,4.2
4.0578,4.2
3.8578,4.2
3.6578,4.2
3.4578,4.2
3.2578,4.2
3.0578,4.2
2.8578,4.2
2.6578,4.2
2.4578,4.2
2.2578,4.2
2.0578,4.2
1.8578,4.2
1.6578,4.2
1.4578,4.2
1.2578,4.2
1.0578,4.2
1.0008,4.2
